Species_Name,species_code,Species_name,Species,Stem_a,stem_b,Stem_c,Top_10_a,Top_10_b,Top_20_a,Top_20_b,Bark_stem_a,Bark_stem_b,bark_top_10a,bark_top_10_b,bark_top_20_a,bark_top_20_b,density,branch_s,branch_m,branch_l,foliage_s,foliage_m,foliage_l
Abies spp,6058,"Abies spp (6058,6059,6060)",Abies spp,-2.4453,1.722,1.0757,5.4443,-2.6902,9.0316,-3.1527,-0.0552,-0.4804,-0.0615,-0.4786,-0.8747,-0.2661,480,0.436,0.372,0.355,0.252,0.142,0.107
Acacia catechu,6063,Acacia catechu (6063),Acacia catechu,-2.3256,1.6476,1.0552,5.4401,-2.491,8.3845,-2.8693,0.0368,-0.4852,0.2306,-0.553,-0.0687,-0.4719,960,0.4,0.4,0.4,0.07,0.05,0.04
Acer spp,6067,Acer spp (6067-6081),Acer spp,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,640,0.748,0.986,1.163,0.211,0.184,0.182
Adina cordifolia,6089,Adina cordifolia (6089),Adina cordifolia,-2.5626,1.8598,0.8783,5.4681,-2.4398,7.6404,-2.6695,-0.4428,-0.2575,-0.1764,-0.3302,-0.1772,-0.3322,670,0.4,0.4,0.4,0.07,0.05,0.04
Aegle marmelos,6090,Aegle marmelos(6090),Aegle marmelos,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Albizia spp.,6098,Albizia spp. (6098-6105),Albizia spp.,-2.4284,1.7609,0.9662,4.4031,-2.2094,7.9419,-2.7343,0.3809,-0.5361,0.7955,-0.6634,0.7744,-0.6586,673,0.4,0.4,0.4,0.07,0.05,0.04
Alnus nepalensis,6106,"Alnus nepalensis (6106, 6107)",Alnus nepalensis,-2.7761,1.9006,0.9428,6.019,-2.7271,7.8979,-2.7867,-1.3593,-0.2015,-1.4088,-0.2123,-1.4061,-0.2124,390,0.803,1.226,1.51,0.169,0.089,0.06
Anogeissus latifolia,6113,Anogeissus latifolia (6113),Anogeissus latifolia,-2.272,1.7499,0.9174,4.9502,-2.3353,7.7573,-2.6716,-0.2512,-0.6053,-0.3033,-0.5919,-0.5284,-0.535,880,0.4,0.4,0.4,0.07,0.05,0.04
Betula utilis,6134,Betula utilis (6134-6136),Betula utilis,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,700,0.748,0.986,1.163,0.211,0.184,0.182
Bombax ceiba,6139,Bombax ceiba (6139),Bombax ceiba,-2.3865,1.7414,1.0063,4.5554,-2.3009,6.4019,-2.3873,1.0876,-0.6846,1.1938,-0.7262,1.1557,-0.7155,368,0.4,0.4,0.4,0.07,0.05,0.04
Buchanania latifolia,6147,Buchanania latifolia(6147),Buchanania latifolia,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Careya arborea,6160,Careya arborea(6160),Careya arborea,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Cassia fistula,6172,Cassia fistula(6172),Cassia fistula,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Castanopsis spp,6173,Castanopsis spp(6173-6177),Castanopsis spp,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,740,0.398,0.915,1.496,0.053,0.048,0.042
Cedrela toona,6669,Cedrela toona (6669-6672),Cedrela toona,-2.1832,1.8679,0.7569,4.9705,-2.3436,7.3734,-2.5998,0.33,-0.4853,0.3475,-0.4968,0.5925,-0.5622,480,0.4,0.4,0.4,0.07,0.05,0.04
Cedrus deodara,6179,Cedrus deodara (6179),Cedrus deodara,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,560,0.436,0.372,0.355,0.252,0.142,0.107
Cleistocalyx operculatus,6207,Cleistocalyx operculatus(6207),Cleistocalyx operculatus,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Cupressus torulosa,6227,Cupressus torulosa (6227),Cupressus torulosa,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,600,0.4,0.4,0.4,0.07,0.05,0.04
Dalbergia latifolia,6235,Dalbergia latifolia(6235),Dalbergia latifolia,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Dalbergia sissoo,6239,Dalbergia sissoo (6239),Dalbergia sissoo,-2.1959,1.6567,0.9899,4.358,-2.1559,6.8821,-2.44,-0.0408,-0.4218,-0.1498,-0.3802,0.4042,-0.5267,780,0.684,0.684,0.684,0.01,0.01,0.01
Daphniphyllum himalense,6242,Daphniphyllum himalense (6242-6244),Daphniphyllum himalense,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,640,0.748,0.986,1.163,0.211,0.184,0.182
Desmodium oojenense,6246,Desmodium oojenense(6246),Desmodium oojenense,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Dillenia pentagyna,6250,Dillenia pentagyna(6250),Dillenia pentagyna,-2.3993,1.7836,0.9546,4.8991,-2.3406,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,0.4,0.4,0.4,0.07,0.05,0.04
Diospyros spp,6256,Diospyros spp (6256),Diospyros spp,-2.3204,1.8507,0.8223,5.5323,-2.4815,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,840,0.748,0.986,1.163,0.211,0.184,0.182
